Date,Close,Volume,Open,High,Low
1/19/24,$694.97 ,2267866,$688.50 ,$696.13 ,$682.67 
1/18/24,$687.31 ,1900615,$682.83 ,$687.72 ,$680.21 
1/17/24,$684.19 ,1786799,$680.50 ,$684.87 ,$679.19 
1/16/24,$681.49 ,1626699,$683.24 ,$686.52 ,$678.16 
1/12/24,$683.24 ,2388399,$677.50 ,$683.72 ,$676.11 
1/11/24,$673.58 ,1670780,$671.00 ,$674.51 ,$667.64 
1/10/24,$672.76 ,1801881,$669.56 ,$673.83 ,$669.01 
1/9/24,$667.18 ,1886171,$658.88 ,$667.29 ,$658.26 
1/8/24,$661.69 ,2245294,$655.81 ,$662.08 ,$654.03 
1/5/24,$656.01 ,2233451,$656.18 ,$659.65 ,$652.24 
1/4/24,$648.35 ,2171077,$642.08 ,$649.90 ,$640.51 
1/3/24,$644.69 ,2612563,$651.21 ,$655.45 ,$643.10 
1/2/24,$650.65 ,2657689,$655.58 ,$657.80 ,$649.50 
12/29/23,$660.08 ,1947516,$661.00 ,$663.19 ,$657.16 
12/28/23,$663.10 ,1496929,$665.85 ,$666.86 ,$661.59 
12/27/23,$666.80 ,1875928,$662.70 ,$668.58 ,$660.40 
12/26/23,$674.62 ,1774769,$673.01 ,$675.86 ,$670.78 
12/22/23,$671.60 ,1641675,$668.00 ,$673.27 ,$666.00 
12/21/23,$665.16 ,2388448,$665.86 ,$667.34 ,$659.45 
12/20/23,$661.00 ,3782659,$671.79 ,$674.35 ,$660.80 
12/19/23,$677.74 ,3437331,$675.00 ,$680.80 ,$669.12 
12/18/23,$681.24 ,5733447,$664.50 ,$681.91 ,$661.10 
12/15/23,$658.82 ,8807735,$641.50 ,$661.88 ,$640.50 
12/14/23,$630.78 ,3839180,$641.18 ,$641.90 ,$630.30 
12/13/23,$642.00 ,2436857,$633.92 ,$642.60 ,$631.00 
12/12/23,$629.50 ,2374394,$627.44 ,$629.69 ,$623.21 
12/11/23,$623.86 ,2139261,$621.97 ,$625.03 ,$618.76 
12/8/23,$610.78 ,1502329,$608.60 ,$613.61 ,$607.73 
12/7/23,$610.95 ,1690366,$610.00 ,$612.35 ,$606.35 
12/6/23,$607.43 ,2234139,$605.50 ,$608.48 ,$603.86 
12/5/23,$605.35 ,2349732,$598.53 ,$608.88 ,$597.03 
12/4/23,$599.08 ,1624045,$592.15 ,$599.53 ,$591.46 
12/1/23,$596.25 ,1475343,$593.28 ,$596.35 ,$590.59 
11/30/23,$592.74 ,1755214,$587.83 ,$593.07 ,$582.83 
11/29/23,$587.86 ,1319844,$595.20 ,$595.21 ,$587.42 
11/28/23,$594.00 ,1286847,$593.19 ,$597.42 ,$591.42 
11/27/23,$594.90 ,1627378,$592.52 ,$599.94 ,$592.41 
